,PDB,Bound_Unbound,Max_Seq_ID_TrainvBenchmark,Max_Seq_ID_Benchmark_v_Benchmark
51,7z1b_2.pdb,bound,0.9606299212598424,0.7480314960629921
52,7qn5_0.pdb,bound,1.0,0.71900826446281
53,8f8v_0.pdb,unbound,0.8,1.0
54,8gz6_1.pdb,unbound,0.792,0.768595041322314
55,8e2n_1.pdb,unbound,0.6929133858267716,0.6929133858267716
56,7t83_1.pdb,unbound,0.7796610169491526,0.7627118644067796
57,7t84_1.pdb,unbound,0.7627118644067796,0.7478991596638656
58,7t84_2.pdb,unbound,0.7627118644067796,0.7478991596638656
59,7t84_3.pdb,unbound,0.7627118644067796,0.7478991596638656
60,8qf5_0.pdb,bound,0.7983193277310925,0.7288135593220338
61,8idi_1.pdb,bound,0.648854961832061,0.5846153846153846
62,8ido_0.pdb,bound,0.6796875,0.59375
63,8opr_0.pdb,bound,0.7666666666666667,0.7083333333333334
64,8opr_1.pdb,bound,0.816,0.712
65,8be2_0.pdb,bound,0.8034188034188035,0.75
66,8apy_0.pdb,bound,1.0,0.7272727272727273
67,8hr2_0.pdb,bound,0.7265625,0.65625
68,8sk5_0.pdb,bound,0.7404580152671756,0.6946564885496184
69,8ont_0.pdb,bound,0.7583333333333333,0.6916666666666667
70,7uia_1.pdb,bound,0.7131782945736435,0.627906976744186
71,8emz_0.pdb,bound,0.84375,0.7421875
72,8dqu_0.pdb,bound,0.784,0.744
73,8h3x_0.pdb,bound,0.7967479674796748,0.7131147540983607
74,7wn0_0.pdb,bound,0.7642276422764228,0.6991869918699187
75,7wn1_0.pdb,bound,0.8114754098360656,0.7540983606557377
76,8e0e_0.pdb,bound,0.8455284552845529,0.7851239669421488
77,7wd2_0.pdb,bound,0.8031496062992126,0.6771653543307087
78,7x2j_0.pdb,bound,0.8346456692913385,0.7401574803149606
79,8dam_1.pdb,bound,0.78125,0.7086614173228346
80,7x2m_0.pdb,bound,0.782258064516129,0.7096774193548387
81,7x2l_0.pdb,bound,0.7435897435897436,0.6776859504132231
82,7sqp_0.pdb,bound,0.8067226890756303,0.7520661157024794
83,7srk_1.pdb,bound,0.7982456140350878,0.7355371900826446
84,7unz_0.pdb,bound,0.85,0.7583333333333333
85,7unz_1.pdb,bound,0.8416666666666667,0.7563025210084033
86,7zw1_0.pdb,bound,0.8095238095238095,0.7301587301587301
87,7th2_0.pdb,bound,0.7983870967741935,0.7016129032258065
88,7nxx_0.pdb,bound,0.6846153846153846,0.6153846153846154
89,7zk1_1.pdb,bound,0.9090909090909092,0.7272727272727273
90,7zkz_1.pdb,bound,0.7377049180327869,0.6885245901639344
91,7voa_0.pdb,bound,0.7890625,0.6875
92,7vke_0.pdb,bound,0.8467741935483871,0.7338709677419355
93,8cyj_1.pdb,bound,0.832,0.728
94,8cyj_2.pdb,bound,0.75,0.703125
95,8cyj_3.pdb,bound,0.7716535433070866,0.7322834645669292
96,8cyb_0.pdb,bound,0.808,0.7338709677419355
97,7zxu_0.pdb,bound,0.7661290322580645,0.6774193548387096
98,7zxu_1.pdb,bound,0.8376068376068376,0.7288135593220338
99,7z1c_2.pdb,bound,0.952755905511811,0.7380952380952381
100,7q6c_0.pdb,bound,0.7253521126760564,0.6444444444444445
101,7qne_0.pdb,bound,1.0,0.6829268292682927
102,7sp8_0.pdb,bound,0.7741935483870968,0.717741935483871
103,7vnb_0.pdb,bound,0.7661290322580645,0.635593220338983
104,8coh_0.pdb,unbound,0.746031746031746,0.734375
105,8c7j_0.pdb,unbound,0.5212121212121212,0.4969696969696969
106,7xl0_0.pdb,unbound,0.768595041322314,0.7603305785123967
107,7xl1_1.pdb,unbound,0.8709677419354839,0.75
108,7q6c_0.pdb,unbound,0.9917355371900828,0.7851239669421488
