,PDB1,Bound_Unbound,Max_Seq_H_ID_TrainvBenchmark,Max_Seq_L_ID_TrainvBenchmark,Max_Seq_H_ID_Benchmark_v_Benchmark,Max_Seq_L_ID_Benchmark_v_Benchmark
94,8cby_0.pdb,bound,0.865546218487395,0.8846153846153846,0.7647058823529411,0.839622641509434
95,8fg0_1.pdb,bound,0.875,0.9380530973451328,0.8130081300813008,0.8839285714285714
96,8heb_0.pdb,bound,0.811965811965812,0.7727272727272727,0.6752136752136753,0.6785714285714286
97,7uow_1.pdb,bound,0.9401709401709402,0.925925925925926,0.8389830508474576,0.8888888888888888
98,7wn2_1.pdb,bound,0.8524590163934426,0.9439252336448598,0.7704918032786885,0.897196261682243
99,7wnb_0.pdb,bound,0.923728813559322,0.9357798165137616,0.8305084745762712,0.8703703703703703
100,8i5h_1.pdb,bound,0.923728813559322,0.9357798165137616,0.8305084745762712,0.8703703703703703
101,8i5h_2.pdb,bound,0.923728813559322,0.9357798165137616,0.8305084745762712,0.8703703703703703
102,7xj6_0.pdb,bound,0.8455284552845529,0.97196261682243,0.7272727272727273,0.9439252336448598
103,7xj6_2.pdb,bound,1.0,0.9814814814814816,0.8373983739837398,0.8611111111111112
104,7zjl_1.pdb,bound,1.0,0.9818181818181818,0.8429752066115702,0.8818181818181818
105,8dto_0.pdb,bound,0.873015873015873,0.8888888888888888,0.746031746031746,0.7545454545454545
106,8sar_0.pdb,bound,1.0,0.9818181818181818,0.6825396825396826,0.7636363636363637
107,8sas_1.pdb,bound,0.9921259842519684,0.9818181818181818,0.7086614173228346,0.7272727272727273
108,8sas_2.pdb,bound,0.9921259842519684,0.9818181818181818,0.7086614173228346,0.7272727272727273
109,8sav_0.pdb,bound,1.0,1.0,0.5163934426229508,0.6574074074074074
110,8saw_0.pdb,bound,0.992063492063492,1.0,0.8650793650793651,0.8727272727272727
111,8sax_0.pdb,bound,1.0,1.0,0.8661417322834646,0.8727272727272727
112,8say_0.pdb,bound,0.9921259842519684,0.990909090909091,0.7142857142857143,0.7909090909090909
113,8sb0_0.pdb,bound,0.8968253968253969,0.9818181818181818,0.8095238095238095,0.8545454545454545
114,8sb1_0.pdb,bound,0.937007874015748,0.9636363636363636,0.8095238095238095,0.8545454545454545
115,8sb2_0.pdb,bound,0.9365079365079364,0.9363636363636364,0.7380952380952381,0.8090909090909091
116,8sb3_0.pdb,bound,0.7857142857142857,0.9363636363636364,0.7063492063492064,0.8363636363636363
117,8sb5_0.pdb,bound,0.9291338582677166,0.9181818181818182,0.7222222222222222,0.7909090909090909
118,7ufn_0.pdb,bound,0.9834710743801652,1.0,0.768595041322314,0.7964601769911505
119,7ufq_0.pdb,bound,0.9917355371900828,1.0,0.768595041322314,0.7876106194690266
120,8gzz_0.pdb,bound,0.7950819672131147,0.8363636363636363,0.7213114754098361,0.7321428571428571
121,7upb_0.pdb,bound,0.8666666666666667,0.9158878504672896,0.725,0.8130841121495327
122,7upk_0.pdb,bound,0.8305084745762712,0.9439252336448598,0.8290598290598291,0.719626168224299
123,8f0l_1.pdb,bound,0.8305084745762712,0.9026548672566372,0.7457627118644068,0.8660714285714286
124,8bcz_2.pdb,bound,1.0,1.0,0.8699186991869918,0.9074074074074074
125,8c3v_1.pdb,bound,0.8571428571428571,0.9252336448598132,0.6666666666666666,0.8611111111111112
126,8c3v_2.pdb,bound,0.8571428571428571,0.9252336448598132,0.6666666666666666,0.8611111111111112
