,Model_Source,AF3_Dir,AF3_PDB,Bound_Unbound,Native_Dir,Native_PDB,H3_local_RMSD,ocd,frh_rms,h1_rms,h2_rms,h3_rms,frl_rms,l1_rms,l2_rms,l3_rms,Protein_type,PDB_short,Seed,Model,DockQ_Classification,h3_len,h3_length,AF2_Dir,AF2_PDB
11,AF3,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8ath_1_seed3/,renum_fv_fold_8ath_1_seed3_model_2.pdb,bound,/scratch4/jgray21/ftalib1/AF3_Benchmark/New_AF3_Benchmark/bound_pdbs/fixed/,renum_fv_8ath_1.pdb,2.763568639755249,5.912888074782685,0.3445307447051742,0.9831658551676584,0.7481058863520599,3.7592508352426472,0.3435983274174806,0.2533832921120649,0.1640979845967871,0.3034433389219877,antibody,8ath_1.pdb,3.0,2.0,Incorrect,11,medium,,
12,AF3,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8ath_1_seed3/,renum_fv_fold_8ath_1_seed3_model_1.pdb,bound,/scratch4/jgray21/ftalib1/AF3_Benchmark/New_AF3_Benchmark/bound_pdbs/fixed/,renum_fv_8ath_1.pdb,2.818429470062256,4.44377606456772,0.3519182027563307,1.0990167171591425,0.7318964000279811,4.32131417483171,0.4036042397565011,0.2449798634821786,0.1906420935591498,0.3316031497776716,antibody,8ath_1.pdb,3.0,1.0,Acceptable,11,medium,,
13,AF3,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8ath_1_seed3/,renum_fv_fold_8ath_1_seed3_model_0.pdb,bound,/scratch4/jgray21/ftalib1/AF3_Benchmark/New_AF3_Benchmark/bound_pdbs/fixed/,renum_fv_8ath_1.pdb,2.4690346717834473,4.691471259525336,0.3656325351905384,0.9957179814783068,0.7185458678615108,4.435447841037902,0.3248955153100007,0.3038780152681686,0.167162126406071,0.4085627621081264,antibody,8ath_1.pdb,3.0,0.0,Acceptable,11,medium,,
14,AF3,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8ath_1_seed3/,renum_fv_fold_8ath_1_seed3_model_3.pdb,bound,/scratch4/jgray21/ftalib1/AF3_Benchmark/New_AF3_Benchmark/bound_pdbs/fixed/,renum_fv_8ath_1.pdb,2.7801871299743652,5.684182326228658,0.3641959513990364,0.9672915133874964,0.7838945802060059,4.417903051326968,0.3490511284840251,0.2418303924792027,0.187669506749018,0.7863967612211473,antibody,8ath_1.pdb,3.0,3.0,Incorrect,11,medium,,
15,AF3,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8hp9_0_seed3/,renum_fv_fold_8hp9_0_seed3_model_3.pdb,bound,/scratch4/jgray21/ftalib1/AF3_Benchmark/New_AF3_Benchmark/bound_pdbs/fixed/,renum_fv_8hp9_0.pdb,0.674666166305542,11.298990331267056,0.6693464818882152,0.6126687617845011,0.6744315206724076,1.4683090589817354,0.7902773183640373,0.700901680780957,0.950612992254456,1.2801877522208802,antibody,8hp9_0.pdb,3.0,3.0,Medium,20,long,,
16,AF3,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8hp9_0_seed3/,renum_fv_fold_8hp9_0_seed3_model_4.pdb,bound,/scratch4/jgray21/ftalib1/AF3_Benchmark/New_AF3_Benchmark/bound_pdbs/fixed/,renum_fv_8hp9_0.pdb,0.6772017478942871,11.39249353062724,0.6725656238724547,0.626767830033726,0.6439903186681448,1.440582573346827,0.8091563523519499,0.6820948662934493,0.9147040811138892,1.1734784178197848,antibody,8hp9_0.pdb,3.0,4.0,Medium,20,long,,
17,AF3,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8hp9_0_seed3/,renum_fv_fold_8hp9_0_seed3_model_1.pdb,bound,/scratch4/jgray21/ftalib1/AF3_Benchmark/New_AF3_Benchmark/bound_pdbs/fixed/,renum_fv_8hp9_0.pdb,0.6544080376625061,11.758133267072497,0.685353593758123,0.6382780703676849,0.6901342297314517,1.4499523639583871,0.8045889880809947,0.7393934394180384,0.9762744110780968,1.2622941542185404,antibody,8hp9_0.pdb,3.0,1.0,Medium,20,long,,
18,AF3,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8hp9_0_seed3/,renum_fv_fold_8hp9_0_seed3_model_0.pdb,bound,/scratch4/jgray21/ftalib1/AF3_Benchmark/New_AF3_Benchmark/bound_pdbs/fixed/,renum_fv_8hp9_0.pdb,0.6910405158996582,11.208063942633837,0.6786303299860738,0.6177552689620773,0.6678999091372912,1.431834667425721,0.7942912092659757,0.6621449522638798,0.9348143162481332,1.2382399353913165,antibody,8hp9_0.pdb,3.0,0.0,Medium,20,long,,
19,AF3,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8hp9_0_seed3/,renum_fv_fold_8hp9_0_seed3_model_2.pdb,bound,/scratch4/jgray21/ftalib1/AF3_Benchmark/New_AF3_Benchmark/bound_pdbs/fixed/,renum_fv_8hp9_0.pdb,0.6618558764457703,11.07534551618004,0.7001190097052892,0.6522003811299945,0.6887994979641573,1.5038136968257307,0.8109277129578555,0.6668901031515952,0.9174576534862064,1.1399717489860437,antibody,8hp9_0.pdb,3.0,2.0,Medium,20,long,,
20,AF3,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8sgn_0_seed1/,renum_fv_fold_8sgn_0_seed1_model_3.pdb,bound,/scratch4/jgray21/ftalib1/AF3_Benchmark/New_AF3_Benchmark/bound_pdbs/fixed/,renum_fv_8sgn_0.pdb,0.538320779800415,1.8204795503745688,0.293944004974842,1.1520439574242491,1.4337198529124353,1.1613792639479197,0.2297357911895937,0.5097078906929965,0.3159767616046823,0.5828774935817219,antibody,8sgn_0.pdb,1.0,3.0,Acceptable,13,medium,,
21,AF3,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8sgn_0_seed1/,renum_fv_fold_8sgn_0_seed1_model_1.pdb,bound,/scratch4/jgray21/ftalib1/AF3_Benchmark/New_AF3_Benchmark/bound_pdbs/fixed/,renum_fv_8sgn_0.pdb,0.7614538669586182,1.1648626842524428,0.266172163408828,1.125503676674522,1.466923201981947,1.3812380671099898,0.2227313004615388,0.569843123062394,0.3105863961020224,0.8694915904448797,antibody,8sgn_0.pdb,1.0,1.0,Acceptable,13,medium,,
22,AF3,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8sgn_0_seed1/,renum_fv_fold_8sgn_0_seed1_model_0.pdb,bound,/scratch4/jgray21/ftalib1/AF3_Benchmark/New_AF3_Benchmark/bound_pdbs/fixed/,renum_fv_8sgn_0.pdb,0.4529391825199127,2.997131270808866,0.2814186102373234,1.0045307529591747,1.3804012667136567,0.6105929118033693,0.2151851095125786,0.5031071340235597,0.3807253554961082,0.4650953581862297,antibody,8sgn_0.pdb,1.0,0.0,Acceptable,13,medium,,
23,AF3,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8sgn_0_seed1/,renum_fv_fold_8sgn_0_seed1_model_2.pdb,bound,/scratch4/jgray21/ftalib1/AF3_Benchmark/New_AF3_Benchmark/bound_pdbs/fixed/,renum_fv_8sgn_0.pdb,0.3961380422115326,3.1708253249773524,0.2665401375188214,1.174861245795334,1.5974757651790783,0.565608058163459,0.2237485632960944,0.4650121195144698,0.3069731459458298,0.5470297126379915,antibody,8sgn_0.pdb,1.0,2.0,Incorrect,13,medium,,
